DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
JIND,1901,25.4,,15.3,,15.2,40.6,96.6,167.7,33,0,,,,,,337.9,
JIND,1902,0,0,0,7.6,10.2,88.8,25.4,17.8,38.1,0,0,0,187.9,0,17.8,170.1,0
JIND,1903,16.5,0,0,0,0,0,33,165.1,71.1,0,0,0,285.7,16.5,0,269.2,0
JIND,1904,10.2,0,30.5,0,14,5.1,45.7,139.7,,0,0,10.2,,10.2,44.5,,10.2
JIND,1905,48.2,22.8,0,0,0,37.1,195.8,27.9,64.2,0,0,,,71,0,325,
JIND,1906,0,,12.6,0,0,63.5,81.2,142.1,109.2,0,0,2.5,,,12.6,396,2.5
JIND,1907,7.6,15.2,,30.5,0,20.3,181.7,63.9,0,0,0,0,,22.8,,265.9,0
JIND,1908,20.3,0,0,14,44.5,0,,246,10.2,0,0,0,,20.3,58.5,,0
JIND,1909,0,25.4,0,109.3,0,231.1,330.1,35.6,177.8,0,0,17.7,927,25.4,109.3,774.6,17.7
JIND,1910,20.3,3.8,0,0.5,0,20.3,129.5,190.5,152.4,20.3,0,0,537.6,24.1,0.5,492.7,20.3
JIND,1911,12.7,0,58.5,0,0,33,33,,149.7,0,33,0,,12.7,58.5,,33
JIND,1912,40.7,25.4,10.2,17.8,0,40.7,114.3,53.3,61,0,12.7,0,376.1,66.1,28,269.3,12.7
JIND,1913,0,39.4,39.4,0,73.7,99.1,104.1,101.7,2.5,0,0,0,459.9,39.4,113.1,307.4,0
JIND,1914,0,7.6,0,10.2,7.6,,,215.9,223.5,5.1,0,0,,7.6,17.8,,5.1
JIND,1915,25.4,,15.2,0,0,85.1,114.3,38.1,71.7,12.7,0,0,,,15.2,309.2,12.7
JIND,1916,0,10.2,0,0,0,38,116.8,81.3,128.2,116.8,0,0,491.3,10.2,0,364.3,116.8
JIND,1917,0,0,0,49.5,20.3,35.5,58.5,209.5,345.4,124.5,0,0,843.2,0,69.8,648.9,124.5
JIND,1918,0,0,7.6,5.1,0,49.5,9.4,216,3,0,0,0,290.6,0,12.7,277.9,0
JIND,1919,36.9,0,0,0,33.1,0,203,170.8,13.7,0,0,7.6,465.1,36.9,33.1,387.5,7.6
JIND,1920,7.6,21.1,15.5,0,38.2,66,335.4,19.6,0,0,0,0,503.4,28.7,53.7,421,0
JIND,1921,27.4,0,0,0,0,8.9,107.9,154.9,81.3,16.5,0,0,396.9,27.4,0,353,16.5
JIND,1922,10.2,0,0,0,0,119.4,81.4,41.9,204.5,0,0,45.7,503.1,10.2,0,447.2,45.7
JIND,1923,19.1,52.9,0,0,54.6,68.6,155.4,184.3,10.2,7.6,0,59.7,612.4,72,54.6,418.5,67.3
JIND,1924,61,0,0,0,6.4,53.3,35.6,171.4,221.1,50.8,0,0,599.6,61,6.4,481.4,50.8
JIND,1925,0,0,0,0,8.1,143.1,321,120.8,27.9,0,19.8,3,643.7,0,8.1,612.8,22.8
JIND,1926,15,0,27,3,44.7,14.8,140.7,300.1,9.7,5.6,0,0,560.6,15,74.7,465.3,5.6
JIND,1927,,62.2,28.2,8.9,27.7,35.5,150.4,178.1,33,0,0,50.3,,,64.8,397,50.3
JIND,1928,18.2,12.2,0,5.8,12.2,120.8,318.8,78.2,46,0,,,,30.4,18,563.8,
JIND,1929,,0,0,11,0,15.8,145,48.8,0,0,0,32.1,,,11,209.6,32.1
JIND,1930,20,1.3,0,0,0,50,287.3,72.7,65,0,0,0,496.3,21.3,0,475,0
JIND,1931,0,23.9,15.7,0,7.1,6.4,302.9,110.4,26.7,41.1,0,0,534.2,23.9,22.8,446.4,41.1
JIND,1932,1,,24.4,0,4.8,12.1,164.7,65.3,29.1,0,0,20.1,,,29.2,271.2,20.1
JIND,1933,0,10.2,11.1,7.9,17.7,102.7,204.7,384.8,376.7,0,0,0,1115.8,10.2,36.7,1068.9,0
JIND,1934,15.2,0,,0,3.6,92.3,63,162.1,8.9,0,0,0.8,,15.2,,326.3,0.8
JIND,1935,42.2,28.8,8.9,15,0,0,361.3,161.7,141,12.7,5.6,5.6,782.8,71,23.9,664,23.9
JIND,1936,0,6.3,0,3.8,0,109.7,132.1,96.4,25.5,0,0,43.2,417,6.3,3.8,363.7,43.2
JIND,1937,0,115.1,6.9,56.7,2.5,19,161.2,29.3,101.1,0,0,0,491.8,115.1,66.1,310.6,0
JIND,1938,47,3.8,0,0,58.7,39.9,58.2,64.1,0,36.8,0,0,308.5,50.8,58.7,162.2,36.8
JIND,1939,6.4,32.3,2.5,0,0,53.9,5.3,8.1,40.9,0,0,0,149.4,38.7,2.5,108.2,0
JIND,1940,30.3,38.1,16.1,8.3,0,45.7,37.5,88.4,25.4,0,0,0,289.8,68.4,24.4,197,0
JIND,1941,50.8,2,0,0,27.9,170,24.9,102.4,89.9,5.1,0,0,473,52.8,27.9,387.2,5.1
JIND,1942,33,56.7,3.6,10.2,4.6,41.9,281.1,329.7,195.7,0,0,14.3,970.8,89.7,18.4,848.4,14.3
JIND,1943,16.1,0,0,7.6,10.2,54.6,227.3,81.7,231.2,0,0,0,628.7,16.1,17.8,594.8,0
JIND,1944,32,37.4,49.6,39.4,0,29.8,,138.1,29,17.8,0,0,,69.4,89,,17.8
JIND,1945,37.6,0,0,22,6.4,69.1,202.7,78.2,592.5,0,0,0,1008.5,37.6,28.4,942.5,0
JIND,1946,0,0,0,0,6.8,15.3,76.9,153.8,58.4,4.6,0,15.2,331,0,6.8,304.4,19.8
JIND,1947,26.7,16.5,4.3,5.8,8.4,19.1,,,260.5,0,0,3.8,,43.2,18.5,,3.8
JIND,1948,20.4,62.1,29.9,0,3.8,20.3,293.9,263,7.6,0,0,0,701,82.5,33.7,584.8,0
JIND,1949,8.4,38.1,0,0,6.4,20.3,,,,,,,,46.5,6.4,,
JIND,1950,,,,,,,,,,,,,,,,,
JIND,1951,,,,,,,,,,,,,,,,,
JIND,1952,,,,,,,,,,,,,,,,,
JIND,1953,,,,,,,,,,,,,,,,,
JIND,1954,26.6,84.1,10.2,0,8,29,115.5,17.2,216.1,2,0,0,508.5,110.6,18.2,377.7,2
JIND,1955,37.9,0.6,4.8,0.8,16.8,49.2,120.2,104.3,175,91.7,49.2,0,650.6,38.5,22.4,448.7,140.9
JIND,1956,13.3,2.5,32.3,0.3,0,127.3,285.5,131.8,7.9,46.3,0,0,647.1,15.8,32.6,552.5,46.3
JIND,1957,52.9,0,20,1.9,8.3,21,87.6,97.6,168.3,34.1,6.8,19.8,518.3,52.9,30.2,374.5,60.6
JIND,1958,3.2,0.8,5.4,0,0,35,73.4,151.8,355.8,6.6,0,25.4,657.3,4,5.4,615.9,32
JIND,1959,16.5,11.9,0.9,2.8,15.1,13.5,55.4,123.8,69.6,22.4,19.5,0,351.5,28.4,18.8,262.4,41.9
JIND,1960,3.8,0,23.6,2.8,0.3,27.1,332.6,418.1,4,32,0,10.7,855,3.8,26.8,781.8,42.7
JIND,1961,,,,,,,,,,,,,,,,,
JIND,1962,4.3,0,8.6,0,0,8.8,59.8,171.1,140.9,0,0,0,393.4,4.3,8.6,380.6,0
JIND,1963,0,3.2,0,3.1,7.2,14.4,61.5,340.7,38,0,0,0,468.1,3.2,10.3,454.6,0
JIND,1964,1,0,0,0,15,1.9,379.4,185.1,153.8,0,0,0,736.2,1,15,720.2,0
JIND,1965,6,14.2,1.3,1,17.2,1,108.5,138,11.8,3.1,0,0,302.1,20.2,19.5,259.4,3.1
JIND,1966,,,,,,,,,,,,,,,,,
JIND,1967,,,,,,,,,,,,,,,,,
JIND,1968,,,,,,,,,,,,,,,,,
JIND,1969,,,,,,,,,,,,,,,,,
JIND,1970,,,,,,,,,,,,,,,,,
JIND,1971,,,0.7,5.5,,38.7,151.4,,18.2,0,0,0,,,,,0
JIND,1972,1.5,9.2,8.7,7.5,0,16,71,155.5,4,1,55,2,331.3,10.7,16.2,246.5,58
JIND,1973,13.5,6,0.5,0,46,,,213.1,95.5,0.5,0,,,19.5,46.5,,
JIND,1974,0,0,0.7,1.5,0,60.2,115.2,80.3,20,0,0,24.1,302,0,2.2,275.7,24.1
JIND,1975,7.3,0.7,7.4,0.7,2.3,33.2,239.7,76.7,50.8,0.8,0,0,419.7,8,10.4,400.4,0.8
JIND,1976,2,6,9.1,5.6,53.8,31.9,242.6,291,18.3,3.5,0,0,663.8,8,68.5,583.8,3.5
JIND,1977,13.3,0,0,5.7,8,18.5,207.9,125.4,70.5,9.7,0,0,458.9,13.3,13.7,422.3,9.7
JIND,1978,0,10,79.5,2.5,0,21.5,79.2,128.7,56,,0,0,,10,82,285.4,
JIND,1979,16.8,44.2,,,,30.9,168.4,23.7,28.3,5,0,0,,61,,251.2,5
JIND,1980,0,0,7,0,10.7,19,100,58.3,67,3.3,0,32.1,297.4,0,17.7,244.3,35.4
JIND,1981,17.3,8.1,14.7,0,22.8,47,124,30.3,8,0,53,0,325.2,25.4,37.4,209.3,53
JIND,1982,6.3,34.7,80,18,36.3,0,23.3,63.3,0,0,0,8,270,41,134.3,86.7,8
JIND,1983,16.7,0,0,,40.5,14.7,93.9,0,65.4,0,0,0,,16.7,,174,0
JIND,1984,0,8,0,1,0,32,118.9,131.1,11.7,0,0,0,302.7,8,1,293.7,0
JIND,1985,3,0,0,0,1.1,40.8,193.9,178.6,16.1,11.6,0,16.6,461.7,3,1.1,429.4,28.2
JIND,1986,0,42,5.6,0,35,83.9,105.1,83,81,0,0,0,435.6,42,40.5,353,0
JIND,1987,0,58,14.5,0,67.5,12.8,4.5,34.1,,0,0,4,,58,82,,4
JIND,1988,5.5,22.5,117,2,0,41,280.6,73.8,282,0,0,5.5,830,28,119,677.5,5.5
JIND,1989,164.6,0.7,0,0,0,35,69.9,110.3,4.2,0,0,5,389.8,165.3,0,219.5,5
JIND,1990,0,197.1,0,1.5,21.6,44.7,152.2,162.8,112.9,0,20.5,9.5,722.8,197.1,23.1,472.6,30
JIND,1991,0,8.5,0,16.1,4.4,78.6,20.5,126,3,0,0,0,257.1,8.5,20.5,228.1,0
JIND,1992,32.1,18.2,0,0,11.8,2.6,55.4,106,27.5,0,13.5,0,267.1,50.3,11.8,191.5,13.5
JIND,1993,2,21.3,1.7,3.7,10,40,324.3,37.7,91.8,0,0,0,532.5,23.3,15.4,493.8,0
JIND,1994,15,13.7,3,4,0,25,202.7,193.8,10.7,0,0,0,467.9,28.7,7,432.2,0
JIND,1995,32.3,8.3,8,1.3,0,46.7,120.3,400,375.7,0,0,0,992.7,40.7,9.4,942.7,0
JIND,1996,2.4,21,17,0,0,72.3,66.5,174.8,104,23.1,0,0,481.1,23.4,17,417.6,23.1
JIND,1997,9,3.7,13.7,47.5,31.1,61.4,130.3,268,0.3,122.7,4.7,32.3,724.7,12.7,92.3,460,159.7
JIND,1998,0,25.5,37.2,10.7,0,92.7,169,161.3,208,115.4,15,,,25.5,47.8,631,
JIND,1999,33.3,0,0,0,22.7,26,94.7,45,29,0,0,0,250.7,33.3,22.7,194.7,0
JIND,2000,10.3,34,0.7,3.7,26.3,60.7,72.9,135.7,5.7,0,0,0,349.9,44.3,30.7,274.9,0
JIND,2001,48.3,5.3,13,43.3,26.3,153.3,81.7,113.3,2.7,21.3,0,0,508.7,53.7,82.7,351,21.3
JIND,2002,4,47.3,9.3,0,69.3,11.3,9.7,31.7,152.7,0,0,2.3,337.7,51.3,78.7,205.3,2.3
JIND,2003,8.3,18.7,0,0.7,1.3,14.3,231.3,125.7,28.7,0,0,15,444,27,2,400,15
JIND,2004,19.8,0,0,15.3,65.3,52.7,3.7,270,17.7,59,0,0,503.5,19.8,80.7,344,59
JIND,2005,24.3,32.5,38.7,0,0,26.3,275.3,59.3,242,0,1.3,0,699.8,56.8,38.7,603,1.3
JIND,2006,6.3,0,34.5,1,24.7,22.7,141.7,47,54,3.3,2,,,6.3,60.2,265.3,
JIND,2007,0,132.7,63,0,10.7,107.3,102.3,72.7,58,0,0,1,547.7,132.7,73.7,340.3,1
JIND,2008,3.3,0.3,0,10,63.9,,129.3,130.3,171,,10.7,0,,3.7,73.9,,
JIND,2009,9.7,6.3,11.7,25.7,,16.7,177.3,28.7,251.7,0,0,,,16,,474.3,
JIND,2010,12.7,18,1.7,3.3,11.3,62.7,235.7,126.7,231.3,0,1,20.7,725,30.7,16.3,656.3,21.7
